Usage (parameters must be supplied in order):
./ping [payloadSize (bytes, 0 - 100M)] [numSamples (0 = infinite)] [timeOut (seconds, 0 = infinite)]
./ping quit - ping sends a quit signal to pong.
Defaults:
./ping 0 0 0
# payloadSize: %32768 | numSamples: %0 | timeOut: %0

# Waiting for startup jitter to stabilise
# Warm up complete.

# Latency measurements (in us)
#             Latency [us]                                   Write-access time [us]       Read-access time [us]
# Seconds     Count   median      min      99%%      max      Count   median      min      Count   median      min
        1      5226       76       66       266     4010       5226        7        5       5226       88       83
        2      6361       71       65       125     1195       6361        6        5       6361       86       83
        3      6555       71       66       119     1138       6555        7        5       6555       86       83
        4      6426       72       66       124     1846       6426        6        5       6426       87       84
        5      6577       69       66       133     1090       6577        6        5       6577       86       83
        6      6300       71       66       153     1039       6300        7        5       6300       86       83
        7      6458       71       66       126     1070       6458        6        5       6458       86       84
        8      6419       70       66       135      865       6419        6        5       6419       85       82
        9      6424       70       66       134     1938       6424        6        5       6424       85       82
       10      6745       70       66       134     1055       6745        7        5       6745       85       83
       11      6308       71       65       127      988       6308        6        5       6308       85       83
       12      6424       71       66       136     1400       6424        6        5       6424       85       81
       13      6116       72       66       134     1433       6116        6        5       6116       86       82
       14      6517       70       66       124     3743       6517        6        5       6517       86       83
       15      6395       71       66       129     1108       6395        7        5       6395       86       83
       16      6414       70       65       131     1257       6414        6        5       6414       85       82
       17      6649       69       66       132     1067       6649        6        5       6649       86       83
       18      6344       70       66       139     1381       6344        6        5       6344       86       83
       19      6408       72       66       122     1129       6408        7        5       6408       87       84
       20      6582       70       65       120     1255       6582        6        5       6582       85       83
       21      6657       70       65       118     1344       6657        6        5       6657       86       84
       22      6657       70       66       120     1285       6657        6        5       6657       86       80
       23      6556       70       66       127     1174       6556        6        5       6556       86       82
       24      6579       70       66       130     1505       6579        6        5       6579       86       84
       25      6674       69       65       120     1629       6674        6        5       6674       86       82
       26      6373       70       66       126     1432       6373        6        5       6373       85       84
       27      6806       70       65       108     1789       6806        7        5       6806       85       80
       28      6736       70       66       117     1556       6736        6        5       6736       86       82
       29      6563       70       65       122     1378       6563        6        5       6563       85       80
       30      6610       70       65       121     1403       6610        7        5       6610       86       80
       31      6555       70       65       122     1333       6555        7        5       6555       86       80
       32      6182       71       66       134     1376       6182        6        5       6182       85       83
       33      6500       69       66       120     1679       6500        6        5       6500       85       82
       34      6391       72       65       121     1612       6391        7        5       6391       87       83
       35      6626       69       66       123     1855       6626        6        5       6626       85       82
       36      6543       71       66       118     1496       6543        7        5       6543       86       82
       37      6375       71       66       144     1829       6375        7        5       6375       85       82
       38      6488       70       66       119     1661       6488        6        5       6488       86       83
       39      6435       70       64       131     1771       6435        6        5       6435       85       82
       40      6612       70       65       131     1678       6612        7        5       6612       85       82
       41      6719       69       64       120     1787       6719        6        5       6719       85       80
       42      5472       71       65       307     2000       5472        7        5       5472       86       80
       43      6871       68       65       112     1598       6871        6        5       6871       85       80
       44      6658       69       65       123     2266       6658        6        5       6658       86       79
       45      6534       70       63       128     1884       6534        7        5       6534       86       80
       46      6705       68       65       128     1720       6705        6        5       6705       85       80
       47      6582       69       66       119     1679       6582        6        5       6582       86       80
       48      6618       69       65       120     2087       6618        6        5       6618       85       80
       49      6720       70       65       112     1764       6720        7        5       6720       85       80
       50      6512       69       66       129     1911       6512        6        5       6512       85       84
       51      6252       71       65       128     1960       6252        6        5       6252       86       80
       52      6458       69       65       129     1767       6458        6        5       6458       85       80
       53      6616       71       65       119     1727       6616        7        5       6616       86       80
       54      6331       71       66       124     1786       6331        7        5       6331       87       83
       55      6728       69       66       125     1845       6728        6        5       6728       85       82
       56      6681       70       65       118     1787       6681        7        5       6681       87       80
       57      6523       70       65       118     2143       6523        6        5       6523       85       80
       58      6616       71       66       112     2311       6616        7        5       6616       87       83
       59      6643       71       64       125     1896       6643        7        5       6643       87       79
       60      6412       71       64       125     1939       6412        6        5       6412       86       80
       61      6317       70       65       131     1980       6317        6        5       6317       86       80
       62      6524       71       66       115     1925       6524        7        5       6524       87       82
       63      6257       73       68       126     2068       6257        7        6       6257       92       87
       64      6220       75       68       130     1899       6220        7        6       6220       90       86
       65      6578       72       68       116     2118       6578        6        6       6578       90       87
       66      6204       75       68       128     2412       6204        8        6       6204       90       87
       67      6456       72       68       116     2207       6456        6        6       6456       90       87
       68      6195       74       69       128     2160       6195        8        6       6195       91       88
       69      6511       72       68       123     1969       6511        6        6       6511       90       87
       70      6250       74       68       124     2180       6250        7        6       6250       90       87
       71      6239       74       67       119     2566       6239        8        6       6239       90       85
       72      5928       75       66       135     2039       5928        6        5       5928       90       84
       73      6414       72       66       132     2043       6414        6        5       6414       89       84
       74      6318       73       68       123     2098       6318        7        6       6318       90       87
       75      6358       75       68       117     2112       6358        8        6       6358       92       87
       76      6424       74       68       124     2184       6424        7        6       6424       90       87
       77      6520       72       68       118     2165       6520        6        6       6520       91       87
       78      6401       72       68       124     2065       6401        6        6       6401       90       87
       79      6224       72       68       155     5401       6224        6        6       6224       90       86
       80      3653      122       73       390     2254       3653       11        6       3653      127       93
       81      5944       74       65       151     2805       5944        7        5       5944       88       80
       82      6235       74       67       127     2408       6235        7        5       6235       90       84
       83      5954       76       68       132     2140       5954        8        6       5954       92       89
       84      5443       81       70       171     1842       5443        8        6       5443       95       89
       85      5999       76       70       134     2217       5999        7        6       5999       92       89
       86      5815       77       70       143     2734       5815        7        6       5815       93       89
       87      6221       75       67       134     2551       6221        7        6       6221       90       87
       88      6267       73       68       126     2345       6267        7        6       6267       90       86
       89      6313       72       68       127     2492       6313        6        6       6313       90       86
       90      6192       75       69       129     2313       6192        6        6       6192       92       89
       91      5945       76       69       132     3138       5945        7        6       5945       92       89
       92      4484       98       75       205     2477       4484        9        6       4484      110       91
       93      5483       83       72       158     2775       5483        8        6       5483       97       92
       94      5777       77       70       139     2498       5777        8        6       5777       93       89
       95      5439       82       70       164     2173       5439        8        6       5439       98       89
       96      6241       74       67       127     2621       6241        6        6       6241       91       87
       97      6040       75       66       137     2476       6040        7        5       6040       90       84
       98      6376       72       68       129     2608       6376        6        5       6376       90       87
       99      6242       74       68       122     2562       6242        6        6       6242       90       87
      100      6247       73       65       125     2093       6247        6        5       6247       90       87
      101      6015       74       70       133     2342       6015        6        6       6015       90       87
      102      6109       76       69       127     2500       6109        8        6       6109       92       88
      103      6177       74       68       130     2790       6177        6        6       6177       90       87
      104      6142       75       68       134     2612       6142        7        6       6142       91       87
      105      5931       75       70       138     2753       5931        6        6       5931       92       89
      106      6233       76       68       130     2483       6233        7        6       6233       91       87
      107      5744       75       68       163     2618       5744        7        6       5744       91       87
      108      5039       88       69       177     2834       5039        8        6       5039      104       89
      109      5536       81       70       156     2059       5536        8        6       5536       95       89
      110      5816       77       69       137     2551       5816        7        6       5816       92       89
