Usage (parameters must be supplied in order):
./ping [payloadSize (bytes, 0 - 100M)] [numSamples (0 = infinite)] [timeOut (seconds, 0 = infinite)]
./ping quit - ping sends a quit signal to pong.
Defaults:
./ping 0 0 0
# payloadSize: %32768 | numSamples: %0 | timeOut: %0

# Waiting for startup jitter to stabilise
# Warm up complete.

# Latency measurements (in us)
#             Latency [us]                                   Write-access time [us]       Read-access time [us]
# Seconds     Count   median      min      99%%      max      Count   median      min      Count   median      min
      111      6082       74       67       136     2506       6082        7        6       6082       90       87
      112      6293       73       68       123     2737       6293        6        6       6293       90       87
      113      6373       74       68       128     2805       6373        7        6       6373       90       87
      114      4653       96       70       184     3141       4653        9        6       4653      109       89
      115      5624       80       70       162     2638       5624        8        6       5624       95       89
      116      5827       76       69       151     2752       5827        7        6       5827       92       89
      117      5932       76       68       135     3155       5932        7        6       5932       92       89
      118      6068       76       68       126     2739       6068        7        6       6068       92       86
      119      5472       83       67       153     2785       5472        8        5       5472       97       84
      120      4289      104       75       194     4940       4289        9        6       4289      109       92
      121      4562      100       78       182     2641       4562        9        7       4562      108       98
      122      5612       81       66       148     2787       5612        7        5       5612       97       84
      123      5628       80       68       149     3272       5628        7        6       5628       93       87
      124      5529       79       70       176     3015       5529        7        6       5529       93       89
      125      5216       87       72       176     2643       5216        8        6       5216      102       90
      126      4368      104       77       194     3377       4368        9        7       4368      110       99
      127      5293       83       70       164     2711       5293        8        6       5293       97       89
      128      6118       75       70       142     3038       6118        6        6       6118       92       89
      129      6007       76       68       133     2816       6007        7        6       6007       92       87
      130      6061       75       70       133     2929       6061        6        6       6061       91       89
      131      5455       82       69       167     3546       5455        8        6       5455       97       89
      132      4580       93       76       191    10574       4580        9        6       4580      108       95
      133      5368       82       70       173     2724       5368        8        6       5368       95       89
      134      6005       76       68       142     3934       6005        7        6       6005       90       87
      135      5763       77       69       144     3462       5763        7        6       5763       93       89
      136      6192       74       68       148     2810       6192        6        6       6192       90       87
      137      5419       85       69       155     2940       5419        8        6       5419      100       92
      138      5548       83       72       157     3997       5548        7        6       5548       98       89
      139      5560       80       68       154     3257       5560        7        6       5560       91       87
      140      6239       75       67       125     3119       6239        8        6       6239       92       87
      141      5523       81       69       159     3892       5523        8        6       5523       97       87
      142      4657       97       80       174     3165       4657        9        7       4657      110      101
      143      5745       79       70       137     2733       5745        8        6       5745       95       89
      144      5619       78       69       156     5962       5619        7        6       5619       93       89
      145      6394       75       70       120     3161       6394        7        6       6394       92       89
      146      5087       88       72       181     3471       5087        8        6       5087      103       90
      147      5556       85       69       149     3021       5556        8        6       5556      100       92
      148      6130       76       69       126     3125       6130        7        6       6130       92       89
      149      5826       77       69       140     2997       5826        7        6       5826       94       89
      150      5279       86       70       162     2933       5279        8        6       5279      101       89
      151      5607       83       71       143     2837       5607        8        6       5607       98       89
      152      5717       78       68       143     3047       5717        6        6       5717       91       89
      153      5270       90       68       163     2942       5270        8        6       5270       93       87
      154      5096       89       71       165     3506       5096        8        6       5096      104       91
      155      5619       80       69       165     3052       5619        7        6       5619       94       89
      156      6247       73       68       124     2818       6247        6        5       6247       90       87
      157      6015       76       68       133     3634       6015        6        6       6015       92       89
      158      5843       75       68       139     3675       5843        8        6       5843       91       87
      159      5964       77       68       128     3183       5964        7        6       5964       94       89
      160      5846       76       66       151     2722       5846        7        6       5846       93       89
      161      5729       77       68       147     3092       5729        8        6       5729       92       87
      162      4787       95       74       180     3186       4787        9        6       4787      109       95
      163      5576       80       71       146     3153       5576        7        6       5576       95       89
      164      6215       73       69       128     3012       6215        6        6       6215       90       87
      165      6137       75       68       132     3154       6137        7        6       6137       92       87
      166      6315       74       68       117     3231       6315        7        6       6315       90       87
      167      5514       81       68       162     2855       5514        8        6       5514       93       87
      168      5384       85       72       149     3658       5384        7        6       5384       98       92
      169      5480       81       69       189     3218       5480        8        6       5480       93       87
      170      5789       76       67       145     3307       5789        7        6       5789       92       87
      171      6163       75       68       130     3027       6163        7        5       6163       91       87
      172      6064       75       67       137     3213       6064        8        6       6064       90       87
      173      6269       74       69       118     3368       6269        7        6       6269       91       87
      174      5844       78       68       133     3454       5844        8        6       5844       92       87
      175      5792       75       68       158     2917       5792        6        5       5792       91       87
      176      5334       88       67       177     3524       5334        7        5       5334       92       84
      177      5298       87       70       170     3398       5298        8        6       5298       95       89
      178      5345       86       69       169     3649       5345        8        6       5345       96       87
      179      4624       97       73       183     3315       4624        9        6       4624      112       94
      180      6039       76       68       131     3117       6039        7        6       6039       93       89
      181      5938       76       69       133     3847       5938        6        6       5938       92       89
      182      4946       90       73       196     4631       4946        8        6       4946      104       92
      183      5390       79       68       172     2765       5390        8        6       5390       94       89
      184      5099       87       72       174     3006       5099        8        6       5099      101       92
      185      5972       76       68       133     3419       5972        8        5       5972       92       87
      186      6040       75       68       137     3362       6040        7        5       6040       90       87
      187      5785       76       68       164     3311       5785        7        6       5785       92       89
      188      5536       80       71       148     3918       5536        8        6       5536       95       92
      189      5953       76       68       134     2793       5953        6        6       5953       91       89
      190      5895       77       69       144     3422       5895        7        6       5895       93       89
      191      5681       78       70       164     3626       5681        8        6       5681       93       87
      192      5628       77       68       148     3155       5628        7        6       5628       92       86
      193      5966       75       68       134     8139       5966        7        5       5966       91       87
      194      5446       79       67       188     4029       5446        7        6       5446       92       87
      195      5672       79       69       156     3312       5672        7        6       5672       95       89
      196      6323       74       68       129     3851       6323        6        6       6323       90       87
      197      5551       81       68       168     3204       5551        8        6       5551       93       87
      198      4706       89       70       290     3239       4706        8        6       4706       96       88
      199      6106       75       69       128     4012       6106        7        6       6106       92       89
      200      6158       73       70       137     3692       6158        6        6       6158       91       88
      201      6124       74       67       136     3144       6124        7        5       6124       90       87
      202      6121       75       68       135     3508       6121        6        6       6121       90       87
      203      6043       73       68       149     3477       6043        7        6       6043       90       86
      204      5927       74       68       140     4265       5927        7        5       5927       90       87
      205      6133       73       69       139     3310       6133        7        6       6133       90       87
      206      6203       75       68       136     3636       6203        7        6       6203       90       86
      207      6082       73       67       140     3531       6082        6        6       6082       90       87
      208      5981       76       67       136     3290       5981        7        6       5981       92       89
      209      5996       74       67       150     3786       5996        7        6       5996       90       84
      210      6040       73       68       135     3377       6040        6        6       6040       89       86
      211      5866       76       66       140     3985       5866        7        5       5866       92       84
      212      6193       73       66       133     3430       6193        6        5       6193       90       84
      213      5879       75       68       140     4035       5879        7        6       5879       91       87
      214      6219       75       69       131     2846       6219        7        6       6219       92       89
      215      6039       73       68       142     3563       6039        7        6       6039       90       87
      216      6240       73       67       140     3429       6240        6        5       6240       89       85
      217      6122       74       68       139     3305       6122        7        6       6122       90       86
      218      5786       74       67       148     4071       5786        7        6       5786       89       84
      219      5934       74       68       139     3312       5934        6        6       5934       90       87
      220      6149       73       68       135     6050       6149        6        5       6149       90       88
      221      6215       74       66       135     3417       6215        7        5       6215       91       87
      222      6077       74       67       137     5680       6077        7        6       6077       90       87
      223      6090       75       68       136     3427       6090        7        6       6090       92       87
      224      5818       74       66       143     3228       5818        7        6       5818       89       84
      225      6073       75       69       139     3765       6073        8        6       6073       92       87
      226      6069       74       68       134     3400       6069        7        6       6069       90       87
      227      6060       75       69       140     3542       6060        7        6       6060       92       87
      228      5959       74       68       149     3390       5959        7        6       5959       91       84
      229      6108       75       67       139     3235       6108        6        6       6108       90       84
      230      5384       88       66       166     5223       5384        7        5       5384       93       84
      231      6420       72       66       134     3769       6420        6        5       6420       90       84
      232      6263       74       67       128     3740       6263        6        6       6263       90       87
      233      4667       96       70       217     3371       4667        9        6       4667      106       89
      234      5397       86       66       230     3368       5397        7        5       5397       91       84
      235      5776       73       66       182     4615       5776        7        5       5776       87       83
      236      6073       73       66       177     2954       6073        7        5       6073       87       81
      237      6139       74       66       129     3493       6139        7        6       6139       90       87
      238      6183       74       68       124     3571       6183        7        6       6183       90       87
      239      6336       75       68       128     3506       6336        7        6       6336       91       87
      240      6427       73       68       125     3535       6427        6        6       6427       90       87
      241      6460       72       66       123     3723       6460        6        6       6460       90       87
      242      6339       72       68       130     3708       6339        6        6       6339       90       89
      243      6383       74       69       117     3563       6383        7        6       6383       90       87
      244      6467       74       68       115     4240       6467        8        6       6467       90       87
      245      6107       74       68       128     3851       6107        7        5       6107       90       86
      246      6510       73       67       115     3507       6510        7        6       6510       90       87
      247      6183       73       68       130     3699       6183        6        6       6183       90       87
      248      6396       73       67       124     3555       6396        7        6       6396       90       87
      249      6347       74       68       118     3609       6347        6        6       6347       92       89
      250      6282       73       68       128     3640       6282        6        6       6282       90       88
      251      6352       73       68       126     3435       6352        6        6       6352       90       88
      252      6176       74       65       141     3616       6176        7        5       6176       90       86
      253      6359       75       68       118     4076       6359        6        6       6359       91       87
      254      6179       74       68       131     3586       6179        7        6       6179       90       88
      255      6376       74       68       115     3755       6376        7        6       6376       90       87
      256      6371       73       68       124     4637       6371        7        6       6371       90       87
      257      5541       80       70       152     3617       5541        8        6       5541       95       89
      258      5283       88       69       172     3664       5283        8        6       5283       95       89
      259      4939       92       72       175     3478       4939        8        6       4939      107       92
      260      5552       80       71       145     4327       5552        8        6       5552       95       89
      261      4415      102       73       198     4000       4415        9        6       4415      112       95
      262      5842       78       70       131     4452       5842        8        6       5842       95       89
      263      5894       76       68       131     3717       5894        7        6       5894       92       86
      264      5903       78       70       146     3578       5903        8        6       5903       93       89
      265      6387       74       69       119     3270       6387        6        6       6387       90       88
      266      5627       76       69       165     4120       5627        8        6       5627       92       87
      267      5716       78       69       147     3844       5716        7        6       5716       93       88
      268      5204       77       67       224     3507       5204        8        5       5204       92       84
      269      6248       74       66       130     4365       6248        7        5       6248       90       84
      270      5368       81       68       203     3979       5368        7        6       5368       90       87
      271      6167       74       68       132     4590       6167        6        6       6167       90       87
      272      6367       74       68       124     3565       6367        7        6       6367       90       87
      273      6254       74       68       126     3606       6254        7        6       6254       90       87
      274      6006       74       67       156     4113       6006        6        6       6006       90       87
      275      6011       76       67       133     4048       6011        7        6       6011       92       89
      276      6303       73       68       142     3635       6303        7        5       6303       90       86
      277      5058       87       67       212     5235       5058        7        6       5058       98       83
      278      5978       74       67       147     3542       5978        7        5       5978       88       84
      279      5752       75       68       157     4182       5752        7        6       5752       90       87
      280      6403       74       69       117     3967       6403        7        6       6403       90       87
      281      6459       73       68       129     3590       6459        6        6       6459       90       87
      282      5980       76       68       134     3856       5980        8        6       5980       92       87
      283      6248       73       68       124     3749       6248        7        6       6248       90       87
      284      6130       74       67       130     4477       6130        6        6       6130       90       86
      285      6081       74       69       142     3846       6081        6        6       6081       91       89
      286      5966       75       69       151     3775       5966        6        6       5966       91       89
      287      5175       89       68       205     3203       5175        8        6       5175       94       87
      288      4918       92       67       204     4579       4918        8        5       4918      104       84
      289      6124       74       68       133     3679       6124        7        6       6124       91       87
      290      5969       76       68       134     3987       5969        7        6       5969       92       89
      291      5247       83       66       195     3921       5247        8        6       5247       94       87
      292      5972       74       70       163     3469       5972        6        6       5972       91       89
      293      5827       75       68       179     4541       5827        7        5       5827       90       87
      294      4109      107       68       308     3815       4109        9        5       4109      114       87
      295      5611       81       65       189     3731       5611        7        5       5611       88       84
      296      6271       74       68       131     3707       6271        7        5       6271       90       85
      297      6297       73       68       131     4648       6297        6        6       6297       90       87
      298      6241       74       68       132     4165       6241        6        5       6241       90       87
      299      6162       74       67       130     4695       6162        7        6       6162       91       88
      300      5934       74       66       148     3880       5934        7        5       5934       90       84
      301      6258       72       67       130     3676       6258        6        6       6258       90       87
      302      6266       74       66       125     3747       6266        7        6       6266       91       87
      303      6201       75       69       127     3785       6201        7        6       6201       90       87
      304      5954       78       70       132     3809       5954        7        6       5954       94       89
      305      6135       74       68       132     3876       6135        7        6       6135       90       87
      306      6339       73       68       130     3933       6339        6        6       6339       90       87
      307      6342       74       68       119     3597       6342        7        6       6342       90       87
      308      6239       73       68       136     4484       6239        6        5       6239       90       87
      309      5295       79       68       212     3789       5295        7        6       5295       92       86
      310      5146       83       71       206     5976       5146        7        6       5146       99       89
      311      4875       83       71       263     4440       4875        8        6       4875      101       89
      312      5765       78       69       165     5005       5765        7        6       5765       94       89
      313      5934       77       69       142     4023       5934        8        6       5934       92       87
      314      5974       74       68       134     4708       5974        8        6       5974       90       87
Interrupt received

# Overall   1883322       71       63       137    10574    1883322        6        5    1883322       86       79
